DrugBank ID,Name,Drug Groups,SMILES
DB02048,"1,2,4-Triazole-Carboxamidine",experimental,NC(=[NH2+])N1C=NC=N1
DB02049,2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,experimental,ONC(=O)CC1(CCOCC1)S(=O)(=O)C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1
DB02051,4-Nitrophenyl (3S)-3-({N-[(benzyloxy)carbonyl]-L-phenylalanyl}amino)-5-phenyl-1-pentanesulfonate,experimental,[H]N([C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](CCC1=CC=CC=C1)CCS(=O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O)C(=O)OCC1=CC=CC=C1
DB02052,Indirubin-3'-monoxime,experimental,O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2
DB02053,Ribose-5-phosphate,experimental,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@@]([H])(O)C=O
DB02054,Gabaculine,experimental,NC1=CC=CC(=C1)C(O)=O
DB02055,N-Butyl-Benzenesulfonamide,experimental,CCCCNS(=O)(=O)C1=CC=CC=C1
DB02056,Prostaglandin D2,investigational,[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O
DB02057,(S)-AMPA,experimental,CC1=C(C[C@H](N)C(O)=O)C(O)=NO1
DB02058,3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,experimental,[H]N1C(=O)C(CC2=CC=C(C=C2)N2CCN(CC2)C=O)C2=CC=CC=C12
DB02059,Adenosine-5-Diphosphoribose,experimental,NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1
DB02060,Cyclohexanone,experimental,O=C1CCCCC1
DB02061,Cellobiose,experimental,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
DB02062,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",experimental,[H][C@@](C)(N)[P@](O)(=O)C[C@@]([H])(CC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)N[C@@]([H])(C)C(O)=O
DB02063,CRA_16847,experimental,[H][C@](CC([O-])=O)(C(O)=O)C1=CC(C2=NC3=C(N2)C=C(C=C3)C(N)=N)=C([O-])C(Br)=C1
DB02065,4-Deoxylactose,experimental,[H][C@@]1(CO)C[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)O1
DB02066,N7-Methyl-Formycin A,experimental,[H][C@]1(CO)O[C@@]([H])(C2=C3N=CN=C(NC)C3=NN2)[C@]([H])(O)[C@]1([H])O
DB02067,Triglu-5-formyl-tetrahydrofolate,experimental,[H]N([H])C1=NC(=O)C2=C(N([H])C[C@H](CN([H])C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(=O)N([H])[C@@H](CCC(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)N2C=O)N1[H]
DB02068,Delta-Amino Valeric Acid,experimental,[NH3+]CCCCC(O)=O
DB02069,N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,experimental,NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=CC=C1F
DB02070,Kynurenine,experimental,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O
DB02071,WAY-151693,experimental,COC1=CC=C(C=C1)S(=O)(=O)N(CC1=CC=CN=C1)C1=C(C=CC=C1C)C(=O)NO
DB02072,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",experimental,OC(=O)C(=O)NC1=C(C(O)=O)C2=C(CSCC2)S1
DB02073,Biliverdine IX Alpha,experimental,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O
DB02074,Butenoic Acid,experimental,C\C=C\C(O)=O
DB02075,"[(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate",experimental,[H]N1C=C([C@@H]2N([H])[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)N=CN2[H]
DB02076,6-phospho-D-gluconic acid,experimental,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
DB02077,L-N(omega)-nitroarginine-(4R)-amino-L-proline amide,experimental,N[C@@H](CCC\N=C(/N)N[N+]([O-])=O)C(=O)N[C@H]1CN[C@@H](C1)C(N)=O
DB02078,Triglyme,experimental,COCCOCCOCCOC
DB02079,Aminooxyacetic acid,experimental,NOCC(O)=O
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",experimental,COCCOCCOCCOC1=CC=C(C=C1)C(C)(C)CC(C)(C)C
DB02081,Bis-Benzamidine,experimental,[H][C@@]1(CC2=CC=C(C=C2)C(N)=N)CCCC[C@@]([H])(CC2=CC=C(C=C2)C(N)=N)C1=O
DB02082,Phosphoaminophosphonic acid guanylate ester,experimental,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)NP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB02083,"N,N-dimethylglycine",experimental,CN(C)CC(O)=O
DB02084,CRA_17312,experimental,[H][C@](CC([O-])=O)(C(O)=O)C1=CC(=C([O-])C(=C1)C1=NC2=C(N1)C=C(C=C2)C(N)=N)C1=CC=CC=C1OC
DB02085,1-Aminocyclopropanecarboxylic Acid,experimental,NC1(CC1)C(O)=O
DB02086,"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",experimental,OC1=CC=C(C=C1O)[As+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB02087,"3,5-Difluorobenzenesulfonamide",experimental,NS(=O)(=O)C1=CC(F)=CC(F)=C1
DB02088,Norleucine Phosphonate,experimental,CCCC[C@H](N)P(O)(O)=O
DB02089,CP-526423,experimental,ClC1=CC2=C(NC(=C2)C(=O)NCCOCCOCCNC(=O)C2=CC3=C(N2)C=CC(Cl)=C3)C=C1
DB02090,A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,experimental,[H][C@@](CCCO)(C(=O)NO)[C@@]([H])(CC(C)C)C(=O)N[C@@]1([H])CCCCN(CCOC)C1=O
DB02091,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",experimental,CC1=NC(C)=C(S1)C1=NC(N)=NC=C1
DB02092,Cholesteryl Linoleate,experimental,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1
DB02093,5-phospho-D-arabinohydroxamic acid,experimental,[H]N(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
DB02094,N-2-Thiophen-2-Yl-Acetamide Boronic Acid,experimental,OB(O)CNC(=O)CC1=CC=CS1
DB02095,Isatin,experimental,O=C1NC2=CC=CC=C2C1=O
DB02096,FR221647,experimental,[H][C@](CO)(CCC1=CC=CC=C1)N1C=NC(=C1)C(N)=O
DB02097,Cytidine,experimental,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB02098,Adenosine-2'-5'-Diphosphate,experimental,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
DB02099,S-azabisabolene,experimental,C[N@H+](CCC=C(C)C)[C@@H]1CCC(C)=CC1
DB02100,Methyl alpha-galactoside,experimental,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
DB02101,"(S,R)-fidarestat",experimental,[H]N([H])C(=O)[C@@H]1C[C@@]2(N([H])C(=O)N([H])C2=O)C2=C(O1)C=CC(F)=C2
DB02102,Mozenavir,experimental,NC1=CC(CN2[C@H](CC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H](CC3=CC=CC=C3)N(CC3=CC(N)=CC=C3)C2=O)=CC=C1
DB02103,2-Chlorodideoxyadenosine,experimental,[H][C@@]1(CO)CC[C@@]([H])(O1)N1C=NC2=C1N=C(Cl)N=C2N
DB02104,"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",experimental,COC1=CC(=CC(OC)=C1OC)N(C)CC1=C(C)C2=C(N)N=C(N)N=C2N=C1
DB02105,"3,5-Dinitrocatechol",experimental,OC1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
DB02106,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",experimental,OC(O)CC1=CC(Br)=C(OC2=CC(C(O)NCCC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1
DB02107,Leucine - Reduced Carbonyl,experimental,CC(C)C[C@@H](C)N
DB02108,2-Aminoethanimidic Acid,experimental,[H]N=C([H])CN
DB02109,Hadacidin,experimental,ON(CC(O)=O)C=O
DB02110,Protoporphyrin Ix Containing Co,experimental,CC1=C(CCC(O)=O)C2=CC3=C(CCC(O)=O)C(C)=C4C=C5N6C(=CC7=C(C=C)C(C)=C8C=C1N2[Co]6(N34)N78)C(C)=C5C=C
DB02111,3-hydroxyisoxazole-4-carboxylic acid,experimental,OC(=O)C1=CON=C1O
DB02112,Zk-806450,experimental,CC(=N)N1CCC(CC1)OC1=CC=C2C(=C1)N(CC1=CC=C3C=CC(=CC3=C1)C(N)=N)C1=C2C=CC=C1
DB02113,6-Methylpurine,experimental,CC1=C2NC=NC2=NC=N1
DB02114,Cumidine,experimental,CC(C)C1=CC=C(N)C=C1
DB02115,Daidzin,experimental,[H][C@]1(CO)O[C@@]([H])(OC2=CC=C3C(=O)C(=COC3=C2)C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB02116,Olomoucine,experimental,CN1C=NC2=C1N=C(NCCO)N=C2NCC1=CC=CC=C1
DB02118,CP-271485,experimental,[H][C@@]1(CN(CC2=CC=CC=C2)C(=O)CO1)C1=CC2=C(C=C1)N(C)S(=O)(=O)C2
DB02119,"6-Hydroxymethyl-7,8-Dihydropterin",experimental,NC1=NC2=C(N=C(CO)CN2)C(=O)N1
DB02120,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",experimental,[H][C@]1(N)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
DB02121,Butyramide,experimental,CCCC(N)=O
DB02122,4-iodo-acetamido phenylboronic acid,experimental,OB(O)C1=CC=CC(NC(=O)CI)=C1
DB02123,Glycochenodeoxycholic Acid,experimental,C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
DB02124,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",experimental,[H][C@]1(O)C=CC=C(C(O)=O)[C@]1([H])N
DB02125,Adamantanone,experimental,O=C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
DB02126,4-Carboxycinnamic Acid,experimental,OC(=O)\C=C\C1=CC=C(C=C1)C(O)=O
DB02127,Diisopropyl methylphosphonate,experimental,CC(C)OP(C)(=O)OC(C)C
DB02128,[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester,experimental,[H]N([C@@H](CC1=CC=CC=C1)C(=O)N([H])[C@@H](CCC1=CC=CC=C1)C(=O)CO)C(=O)OCC1=CN=CC=C1
DB02129,Dihydroorotic Acid,experimental,OC(=O)[C@@H]1CC(=O)NC(=O)N1
DB02130,Vanillic acid,experimental,COC1=CC(=CC=C1O)C([O-])=O
DB02131,N-1-methylheptylformamide,experimental,[H]N(C=O)[C@H](C)CCCCCC
DB02132,Zenarestat,experimental,OC(=O)CN1C(=O)N(CC2=C(F)C=C(Br)C=C2)C(=O)C2=C1C=C(Cl)C=C2
DB02133,Chlorophyll A,experimental,[Mg++].CCC1=C(C)C2=N\C\1=C/C1=C(C)C3=C([N-]1)\C([C@@H](C(=O)OC)C3=O)=C1/N=C(/C=C3\[N-]/C(=C\2)C(C=C)=C3C)[C@@H](C)[C@@H]1CCC(=O)OC\C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
DB02134,Xanthine,experimental,O=C1NC2=C(NC=N2)C(=O)N1
DB02135,"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",experimental,[H]N1C2=C(N(CCCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)N([H])C1=O
DB02136,Cephalosporin analog,experimental,[H][C@]1(NC(C(O)=O)=C(CC[C@H](NC(=O)CC[C@@H](NC(C)=O)C(O)=O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(O)=O)CS1)[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O
DB02137,Molybdenum cofactor,experimental,O=[Mo++]=O.NC1=NC2=C(N[C@@H]3[C@H](N2)O[C@H](COP([O-])([O-])=O)C([S-])=C3[S-])C(=O)N1
DB02138,Diethyl 4-Methylbenzylphosphonate,experimental,CCOP(=O)(CC1=CC=C(C)C=C1)OCC
DB02139,(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,experimental,CN(CC=C)C\C=C\COC1=CC2=C(C=C1F)C(=NN2C)C1=CC=C(Br)C=C1
DB02140,N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,experimental,[H][C@@](CC1=CC=CC=C1)(NC(=O)C(=O)CC(=O)NCCC1=NC=CC=C1)C(=O)N(C)C
DB02141,"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",experimental,NC(=N)SCCC1=CC=C(CCSC(N)=N)C=C1
DB02142,Pyridoxamine-5'-Phosphate,experimental,CC1=NC=C(COP(O)(O)=O)C(CN)=C1O
DB02143,1-hydroxy-2-isopropylguanidine,experimental,CC(C)\N=C(/N)NO
DB02144,"1,2-diacyl-sn-glycero-3-phosphoinositol",experimental,[H]\C(CCCCCCCC)=C(\[H])CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCCCCCCCC)COP([O-])(=O)O[C@@]1([H])[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
DB02145,Butyl alcohol,experimental,CCCCO
DB02146,Glutathione S-atrazine,experimental,CCNC1=NC(SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)=NC(NC(C)C)=N1
DB02147,Cyclo-Tetrametavanadate,experimental,[O-][V]1(=O)O[V]([O-])(=O)O[V]([O-])(=O)O[V]([O-])(=O)O1
DB02148,3-Amino-4-Oxybenzyl-2-Butanone,experimental,CC(=O)[C@@H](N)COCC1=CC=CC=C1
DB02151,Methionine Phosphonate,experimental,CSCC[C@H](N)P(O)(O)=O
DB02152,K-252a,experimental,[H][C@]12C[C@](O)(C(=O)OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13
DB02153,3-sulfino-L-alanine,experimental,N[C@@H](C[S@@](O)=O)C(O)=O
DB02154,"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",experimental,[H][C@@](CC1=CC=C2OCOC2=C1)(C(O)=O)[C@]([H])(CC1=CC=C2OCOC2=C1)C(O)=O
DB02155,3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,experimental,[H]N([C@@H]1CN([H])CCC[C@H]1OC(=O)C1=CC=C(C=C1)C(=O)C1=C(O)C=CC(OC)=C1)C(=O)C1=CC([C@@H](C)CC)=C(O)C=C1
DB02156,Sulfopyruvate,experimental,OC(=O)C(=O)CS(O)(=O)=O
DB02158,"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",experimental,CSC[C@H]1N[C@H]([C@H](O)[C@@H]1O)C1=CNC2=C1N=CNC2N
DB02159,(R)-Propylene glycol,experimental,C[C@@H](O)CO
DB02160,S-Butyryl-Cystein,experimental,[H][C@](N)(CSC(=O)CCC)C(O)=O
DB02161,Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester,experimental,[H][C@](O)(C(=O)O[C@@]1([H])C[C@]2([H])CC[C@]([H])(C1)N2C)C1=CC=CC=C1
DB02162,5'-O-(N-Ethyl-Sulfamoyl)Adenosine,experimental,[H][C@]1(COS(=O)(=O)NCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02163,"2,5-Xylidine",experimental,CC1=CC=C(C)C(N)=C1
DB02164,N-sulfo-flavin mononucleotide,experimental,[H]N1C(=O)N=C2N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C3=C(C=C(C)C(C)=C3)[N+](=C2C1=O)S([O-])(=O)=O
DB02165,Zinc trihydroxide,experimental,[Zn].[H]O[H].[H]O[H].[H]O[H]
DB02166,Propidium,experimental,CC[N+](C)(CC)CCC[N+]1=C(C2=CC=CC=C2)C2=C(C=CC(N)=C2)C2=C1C=C(N)C=C2
DB02167,"N,N-Dimethyl-L-Alanine",experimental,[H][C@@](C)(N(C)C)C(O)=O
DB02168,6-bromopurine,experimental,BrC1=NC=NC2=C1NC=N2
DB02169,"9,10-Deepithio-9,10-Didehydroacanthifolicin",experimental,[H]\C(=C(\[H])[C@@]1([H])CC[C@@]2(CC[C@@]3([H])O[C@@]([H])(C(=C)[C@@]([H])(O)[C@]3([H])O2)[C@@]([H])(O)C[C@]([H])(C)[C@@]2([H])O[C@@]3(CCCCO3)CC[C@@]2([H])C)O1)[C@@]([H])(C)[C@]1([H])CC(C)=C[C@@]2(O[C@]([H])(C[C@@](C)(O)C(O)=O)CC[C@@]2([H])O)O1
DB02170,"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",experimental,OC1=CC=C(C2=C1C(=O)C1=C(O)C=CC=C1O2)[N+]([O-])=O
DB02172,"2,5-Dideoxy-2,5-Imino-D-Glucitol",experimental,OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O
DB02173,Co(III)-(Deuteroporphyrin IX),experimental,[Co+7].[H]\C-1=C2\[N-]\C(=C([H])/C3=N/C(=C([H])\C4=C(CCC([O-])=O)C(C)=C(N4)\C([H])=C4\C=C(C)C-1=N4)/C(CCC(O)=O)=C3C)C(C)=C2
DB02174,D-Glutamine,experimental,N[C@H](CCC(N)=O)C(O)=O
DB02175,Malonic acid,experimental,OC(=O)CC(O)=O
DB02176,Mercury Acetate Ion,experimental,CC(=O)O[Hg+]
DB02177,1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine,experimental,CCOC1=CC=CC=C1SC1=C(C=C(C=C1)C1=CC(=NC=C1)N1CCN(CC1)C(C)=O)N(=O)=O
DB02178,Phenylacetaldehyde,experimental,O=CCC1=CC=CC=C1
DB02179,O-Trifluoromethylphenyl Anthranilic Acid,experimental,OC(=O)C1=CC=CC=C1NC1=C(C=CC=C1)C(F)(F)F
DB02180,Myristoyl-Coa,experimental,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB02181,2'-Deoxyguanosine-5'-Triphosphate,experimental,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
DB02182,Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe),experimental,CCC1=C2C=C3N4C(=CC5=C(C)C(CCC(O)=O)=C6C=C7N8C(=CC(N2[Fe]48N56)=C1C)C(C)=C7CCC(O)=O)C(C=C)=C3C
DB02183,Adenosine-5'-ditungstate,experimental,NC1=C2N=CN(C3OC(CO[W](O)(=O)O[W](O)(O)=O)C(O)C3O)C2=NC=N1
DB02184,"D-1,4-dithiothreitol",experimental,O[C@H](CS)[C@H](O)CS
DB02185,"2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One",experimental,[H][C@@]1(O)OC2=C(C=CC(OC)=C2)N(O)C1=O
DB02186,N-acetyl-beta-D-galactosamine 6-sulfate,experimental,CC(=O)N[C@H]1[C@H](O)O[C@H](COS(O)(=O)=O)[C@H](O)[C@@H]1O
DB02187,Equilin,experimental,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC=C21)C=C(O)C=C3
DB02188,N-Methylmesoporphyrin containing copper,experimental,[Cu+].CCC1=C(C)\C2=C\C3=C(CC)C(C)=C(\C=C4/N=C(/C=C5\[N-]\C(=C/C1=N2)C(C)=C5CCC(O)=O)C(CCC(O)=O)=C4C)N3C
DB02189,"2',3'-Dideoxyadenosine triphosphate",experimental,NC1=C2N=CN([C@H]3CC[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O3)C2=NC=N1
DB02190,(S)-oxalosuccinic acid,experimental,[H][C@@](CC(O)=O)(C(O)=O)C(=O)C(O)=O
DB02191,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",experimental,[H][C@@]12CCCC[N@]1CC(=O)C1=C2NC2=C1C=CC=C2
DB02192,Phenylethyl alcohol,experimental,OCCC1=CC=CC=C1
DB02194,"8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",experimental,OC1=CC=C(C[C@@]2(O)N=C3N(C=C(N=C3CC3=CC=CC=C3)C3=CC=C(O)C=C3)C2=O)C=C1
DB02195,"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",experimental,ON1C2=CC=CN=C2C(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1
DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,experimental,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O[P@](O)(=O)O[P@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
DB02197,"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",experimental,NS(=O)(=O)C1=CC=C(NC2=NC(=CC=N2)C2=CN=C3C=CC=CN23)C=C1
DB02198,2-Bromoacetyl Group,experimental,OC(=O)CBr
DB02199,"1,3-Dedimethyl-1,3-Divinyl Heme",experimental,CC1=C(CCC(O)=O)C2=CC3=C(CCC(O)=O)C(C)=C4C=C5N6C(=CC7=C(C=C)C(C=C)=C8C=C1N2[Fe]6(N34)N78)C(C=C)=C5C=C
DB02200,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,experimental,[H]N([C@@H](CCC1=CC=CC=C1)CCS(=O)(=O)CC1=CC=CC=C1)C(=O)[C@H](CC1=CC=CC=C1)N([H])C(=O)OCC1=CC=CC=C1
DB02201,Malonate Ion,experimental,[O-]C(=O)CC([O-])=O
DB02202,"(S)-butane-1,3-diol",experimental,C[C@H](O)CCO
DB02203,Acetone Cyanohydrin,experimental,CC(C)(O)C#N
DB02205,(+)-Rutamarin alcohol,experimental,CC(C)(O)[C@@H]1CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C
DB02207,7-Nitroindazole,experimental,O=N(=O)C1=CC=CC2=CNN=C12
DB02209,Pyridoxine phosphate,experimental,CC1=NC=C(COP(O)(O)=O)C(CO)=C1O
DB02210,"Hexane-1,6-Diol",experimental,OCCCCCCO
DB02211,(R)-N-methyl-N-2-propynyl-1-indanamine,experimental,CN(CC#C)[C@@H]1CCC2=C1C=CC=C2
DB02213,Metanitrophenyl-Alpha-D-Galactoside,experimental,[H][C@]1(CO)O[C@]([H])(OC2=CC=CC(=C2)N(=O)=O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
DB02214,"6,7-dioxo-5H-8-ribitylaminolumazine",experimental,[H]N1C(=O)N([H])C2=C(N([H])C(=O)C(=O)N2C[C@H](O)[C@H](O)[C@H](O)CO)C1=O
DB02215,Furoyl-Leucine,experimental,[H][C@@](CC(C)C)(NC(=O)C1=CC=CO1)C(O)=O
DB02216,S-Methylcysteine,experimental,CSC[C@H](N)C(O)=O
DB02217,Dpb-T,experimental,[H][C@]1(C[C@]2([H])O[C@@](OC[C@]2([H])O1)(C1=CC=CC=C1)P(O)(O)=O)N1C=C(C)C(=O)NC1=O
DB02218,"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",experimental,[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
DB02219,3-(cyclohexylamino)propanesulfonic acid,experimental,OS(=O)(=O)CCCNC1CCCCC1
DB02220,AL7089A,experimental,CN[C@H]1CN(C2=CC(OC)=CC=C2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DB02221,"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",experimental,NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1F
DB02222,"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",experimental,C[C@@H](CN1C=NC2=C1N=C(N)N=C2N)OCP([O-])([O-])=O
DB02223,LY231514 tetra glu,experimental,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NC(CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)N1
DB02224,Taxifolin,experimental,O[C@@H]1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C(O)=C1
